City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
316,Pecos,1,US,1613875311,76,31.4229,-103.4932,51.8,4.61
317,Sancti Spíritus,1,CU,1613875282,83,21.9297,-79.4425,72.93,10.04
318,Port Orange,1,US,1613875061,66,29.1383,-80.9956,54.0,14.97
319,Tual,53,ID,1613875312,79,-5.6667,132.75,83.25,20.13
320,Denpasar,20,ID,1613875108,83,-8.65,115.2167,82.4,5.75
321,Strezhevoy,100,RU,1613875312,76,60.7333,77.5889,-14.8,8.95
322,Plettenberg Bay,47,ZA,1613875313,75,-34.0527,23.3716,62.31,8.86
323,Alofi,85,NU,1613875313,61,-19.0595,-169.9187,82.4,21.85
324,Dingle,100,PH,1613875313,86,10.9995,122.6711,74.68,12.64
325,Lobva,100,RU,1613875314,89,59.1854,60.5185,-12.89,3.27
326,Port Blair,40,IN,1613875314,74,11.6667,92.75,82.4,5.75
327,Takoradze,16,GH,1613875314,86,4.8845,-1.7554,79.36,6.91
328,Roald,75,NO,1613875314,62,62.5833,6.1333,50.0,13.8
329,Santa Maria,0,BR,1613875056,88,-29.6842,-53.8069,69.8,5.75
330,Tūkrah,0,LY,1613875315,75,32.5341,20.5791,51.76,4.45
331,Aksaray,0,TR,1613875315,85,38.3726,34.0254,14.0,3.44
332,Shingū,0,JP,1613875315,55,33.7333,135.9833,62.6,4.61
333,Lingao,9,CN,1613875315,56,19.9103,109.6859,72.25,5.14
334,Mala Vyska,99,UA,1613875316,98,48.6431,31.6366,23.9,8.52
335,Guánica,0,PR,1613875316,68,17.9716,-66.908,73.0,1.01
336,San Pedro Buenavista,75,MX,1613875316,72,16.0833,-93.1167,66.2,17.27
337,Kananga,100,CD,1613875316,96,-5.8958,22.4178,68.07,0.34
338,Yugorsk,90,RU,1613875317,86,61.3133,63.3319,-23.94,5.53
339,Japura,91,ID,1613875317,64,-0.3167,102.35,83.43,4.47
340,São João da Barra,96,BR,1613875317,90,-21.6403,-41.0511,75.15,12.03
341,Abu Kamal,36,SY,1613875317,56,34.4506,40.9171,43.45,5.99
342,Sola,85,VU,1613875317,77,-13.8833,167.55,83.41,10.6
